Totodile,V1,V2,V4,V1,V3,V6,agua
Croconaw,V1,V3,V3,V2,V5,V5,agua
Feraligatr,V1,V2,V2,V3,V5,V5,agua
Ledian,V1,V1,V4,V2,V4,V6,agua
Chinchou,V1,V3,V4,V2,V5,V6,agua
Lanturn,V1,V2,V3,V1,V5,V6,agua
Togetic,V1,V1,V3,V1,V3,V5,agua
Natu,V2,V3,V4,V2,V4,V5,agua
Xatu,V2,V1,V2,V3,V4,V5,agua
Mareep,V2,V2,V4,V2,V4,V6,agua
Marill,V2,V1,V4,V2,V4,V6,agua
Azumarill,V2,V3,V4,V1,V5,V5,agua
Politoed,V2,V3,V3,V2,V5,V6,agua
Yanma,V2,V1,V3,V1,V3,V6,agua
Wooper,V2,V2,V4,V3,V5,V5,agua
Quagsire,V2,V2,V3,V2,V4,V5,agua
Espeon,V2,V1,V2,V1,V4,V6,agua
Slowking,V2,V2,V4,V3,V3,V6,agua
Girafarig,V3,V3,V4,V2,V3,V5,agua
Forretress,V3,V1,V2,V1,V5,V6,agua
Dunsparce,V3,V3,V2,V2,V5,V5,agua
Qwilfish,V3,V1,V4,V1,V5,V6,agua
Teddiursa,V3,V2,V4,V2,V5,V5,agua
Swinub,V3,V1,V3,V2,V4,V6,agua
Piloswine,V3,V1,V3,V1,V3,V6,agua
Corsola,V3,V2,V2,V2,V4,V5,agua
Remoraid,V3,V3,V4,V1,V5,V5,agua
Octillery,V3,V3,V4,V3,V4,V6,agua
Mantine,V3,V3,V3,V1,V3,V6,agua
Kingdra,V4,V1,V3,V1,V5,V6,agua
Porygon2,V4,V3,V4,V2,V4,V6,agua
Suicune,V4,V1,V2,V3,V4,V6,agua
Lugia,V4,V3,V4,V1,V5,V5,agua
Mudkip,V5,V1,V4,V1,V3,V5,agua
Marshtomp,V5,V2,V4,V2,V5,V6,agua
Swampert,V5,V2,V3,V1,V5,V5,agua
Mega-Swampert,V5,V3,V2,V2,V4,V6,agua
Zigzagoon,V5,V1,V2,V3,V3,V6,agua
Linoone,V5,V2,V3,V3,V5,V5,agua
Lotad,V5,V3,V3,V2,V6,V5,agua
Lombre,V5,V1,V3,V1,V5,V5,agua
Ludicolo,V5,V1,V4,V1,V4,V6,agua
Wingull,V6,V1,V4,V2,V4,V6,agua
Pelipper,V6,V3,V3,V1,V4,V6,agua
Surskit,V6,V3,V2,V2,V6,V6,agua
Masquerain,V6,V3,V4,V2,V4,V5,agua
Azurill,V6,V3,V3,V1,V4,V6,agua
Cyndaquil,V1,V6,V5,V5,V5,V5,fuego
Quilava,V1,V6,V5,V6,V5,V5,fuego
Typhlosion,V1,V5,V5,V6,V5,V4,fuego
Igglybuff,V1,V4,V5,V5,V6,V5,fuego
Togepi,V1,V5,V5,V6,V5,V5,fuego
Murkrow,V2,V5,V5,V6,V6,V5,fuego
Misdreavus,V2,V5,V4,V6,V5,V5,fuego
Unown,V2,V6,V6,V5,V6,V4,fuego
Wobbuffet,V3,V6,V5,V6,V6,V5,fuego
Slugma,V3,V6,V6,V5,V5,V4,fuego
Magcargo,V3,V5,V4,V6,V5,V5,fuego
Houndoom,V4,V4,V4,V5,V6,V6,fuego
Mega-Houndoom,V4,V5,V5,V5,V6,V5,fuego
Tyrogue,V4,V5,V5,V5,V6,V5,fuego
Magby,V4,V6,V5,V5,V5,V4,fuego
Entei,V4,V6,V6,V6,V6,V5,fuego
Ho-Oh,V4,V5,V5,V5,V5,V5,fuego
Torchic,V5,V6,V6,V5,V5,V6,fuego
Combusken,V5,V4,V5,V5,V6,V4,fuego
Blaziken,V5,V6,V5,V6,V6,V5,fuego
Mega-Blaziken,V5,V5,V5,V6,V5,V5,fuego
Poochyena,V5,V5,V6,V6,V5,V4,fuego
Mightyena,V5,V6,V5,V6,V6,V5,fuego
Taillow,V5,V5,V4,V6,V5,V5,fuego
Swellow,V6,V6,V5,V5,V6,V4,fuego
Chikorita,V1,V4,V1,V4,V1,V5,planta
Bayleef,V1,V5,V2,V5,V3,V4,planta
Meganium,V1,V4,V1,V5,V1,V4,planta
Hoothoot,V1,V5,V2,V4,V3,V4,planta
Noctowl,V1,V5,V1,V5,V2,V5,planta
Ledyba,V1,V4,V2,V5,V2,V3,planta
Spinarak,V1,V5,V3,V5,V1,V3,planta
Ariados,V1,V5,V1,V5,V1,V4,planta
Flaaffy,V2,V4,V1,V5,V2,V5,planta
Ampharos,V2,V4,V1,V5,V2,V4,planta
Mega-Ampharos,V2,V5,V2,V4,V1,V5,planta
Bellossom,V2,V4,V1,V4,V1,V3,planta
Hoppip,V2,V4,V1,V5,V3,V4,planta
Skiploom,V2,V5,V2,V5,V2,V4,planta
Jumpluff,V2,V4,V1,V4,V2,V4,planta
Aipom,V2,V4,V3,V4,V3,V4,planta
Sunkern,V2,V4,V1,V4,V1,V3,planta
Sunflora,V2,V5,V2,V5,V1,V5,planta
Umbreon,V2,V5,V2,V5,V2,V3,planta
Pineco,V3,V4,V1,V6,V2,V4,planta
Gligar,V3,V5,V1,V5,V1,V5,planta
Granbull,V3,V5,V2,V5,V2,V4,planta
Scizor,V3,V5,V1,V5,V3,V3,planta
Mega-Scizor,V3,V4,V1,V6,V1,V4,planta
Ursaring,V3,V4,V1,V4,V2,V4,planta
Delibird,V3,V4,V2,V4,V2,V4,planta
Skarmory,V4,V4,V1,V5,V2,V5,planta
Houndour,V4,V6,V1,V6,V1,V3,planta
