20
13
3
14.38	13.9	14.1	13.94	13.05	13.83	13.82	11.66	13.03	11.84	12.33	12.7	12	12.72	12.84	12.93	13.36	13.52	13.62	12.25
3.59	1.68	2.02	1.73	1.73	1.65	1.75	1.88	0.9	2.89	0.99	3.87	0.92	1.81	2.96	2.81	2.56	3.17	4.95	3.88
2.28	2.12	2.4	2.27	2.04	2.6	2.42	1.92	1.71	2.23	1.95	2.4	2	2.2	2.61	2.7	2.35	2.72	2.35	2.2
16	16	18.8	17.4	12.4	17.2	14	16	16	18	14.8	23	19	18.8	24	21	20	23.5	20	18.5
102	101	103	108	92	94	111	97	86	112	136	101	86	86	101	96	89	97	92	112
3.25	3.1	2.75	2.88	2.72	2.45	3.88	1.61	1.95	1.72	1.9	2.83	2.42	2.2	2.32	1.54	1.4	1.55	2	1.38
3.17	3.39	2.92	3.54	3.27	2.99	3.74	1.57	2.03	1.32	1.85	2.55	2.26	2.53	0.6	0.5	0.5	0.52	0.8	0.78
0.27	0.21	0.32	0.32	0.17	0.22	0.32	0.34	0.24	0.43	0.35	0.43	0.3	0.26	0.53	0.53	0.37	0.5	0.47	0.29
2.19	2.14	2.38	2.08	2.91	2.29	1.87	1.15	1.46	0.95	2.76	1.95	1.43	1.77	0.81	0.75	0.64	0.55	1.02	1.14
4.9	6.1	6.2	8.9	7.2	5.6	7.05	3.8	4.6	2.65	3.4	2.57	2.5	3.9	4.92	4.6	5.6	4.35	4.4	8.21
1.04	0.91	1.07	1.12	1.12	1.24	1.01	1.23	1.19	0.96	1.06	1.19	1.38	1.16	0.89	0.77	0.7	0.89	0.91	0.65
3.44	3.33	2.75	3.1	2.91	3.37	3.26	2.14	2.48	2.52	2.31	3.13	3.12	3.14	2.15	2.31	2.47	2.06	2.05	2
1065	985	1060	1260	1150	1265	1190	428	392	500	750	463	278	714	590	600	780	520	550	855
1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
